MedID,Medication
1297,Aripiprazole Related Compound B (25 mg) (7-(4-hydroxy-butoxy)-3 - 4-dihydroquinolin-2(1H)-one)
1298,Aripiprazole Related Compound C (25 mg) (1-(2 - 3-dichlorophenyl)piperazine hydrochloride)
1299,Aripiprazole Related Compound F (25 mg) (4-(2 - 3-dichlorophenyl)-1-[4-(2-oxo-1 - 2 - 3 - 4-tetrahydroquinolin-7-yloxy)butyl]piperazin 1-oxide)
1300,Aripiprazole Related Compound G (25 mg) (7-{4-[4-(2 - 3-dichlorophenyl)piperazin-1-yl]butoxy}quinolin-2(1H)-one)
1301,Aripiprazole Related Compound H (25 mg) (7-(4-{4-[4-(2 - 3-dichlorophenyl)piperazin-1-yl]butoxy}butoxy)-3 - 4-dihydroquinolin-2(1H)-one)
1302,Arsanilic Acid (25 mg)
1303,Artemether (100 mg)
1304,Artemether Related Compound B (15 mg) ((3R - 5aS - 6R - 8aS - 9R - 10R - 12R - 12aR)-Decahydro-10-methoxy-3 - 6 - 9-trimethyl-3 - 12-epoxy-12H-pyrano[4 - 3-j]-1 - 2-benzodioxepin)
1305,Artemisinin (50 mg) ((3R - 5aS - 6R - 8aS - 9R - 12S - 12aR)-Octahydro-3 - 6 - 9-trimethyl-3 - 12-epoxy-12H-pyrano[4 - 3-j]-1 - 2-benzodioxepin-10(3H)-one)
1306,Artesunate (200 mg)
1307,Articaine (40 mg)
1308,Articaine Hydrochloride (125 mg)
1309,Articaine Related Compound A (40 mg) (Methyl 4-methyl-3-[2-(propylamino)acetamido]thiophene-2-carboxylate)
1310,Articaine Related Compound B (25 mg) (4-methyl-3-{[2-(propylamino)propanoyl]amino}thiophene-2-carboxylic acid)
1311,Articaine Related Compound E (40 mg) (Methyl 3-[2-(isopropylamino)propanamido]-4-methylthiophene-2-carboxylate)
1312,Ascorbic Acid (1 g) (Vitamin C)
1313,Ascorbyl Palmitate (500 mg)
1314,Ascorbyl Stearate (500 mg)
1315,Ashwagandha Aerial Parts Dry Extract (250 mg)
1316,Asiaticoside (30 mg)
1317,Asparagine Anhydrous (200 mg)
1318,Asparagine Monohydrate (200 mg)
1319,Aspartame (200 mg)
1320,Aspartame Acesulfame (200 mg)
1321,Aspartame Related Compound A (25 mg) ([(2S - 5S)-5-Benzyl-3 - 6-dioxopiperazin-2-yl]acetic acid)
1322,Aspartic Acid (100 mg)
1323,Aspirin (500 mg)
1324,Astaxanthin (Synthetic) (3 x 30 mg) (3 - 3'-dihydroxy-Beta - Beta-Carotene-4 - 4'-dione)
1325,Astaxanthin Esters from Haematococcus pluvialis (5 x 100 mg)
1326,Astemizole (200 mg)
1327,Astragaloside IV (100 mg) ((3beta - 6alpha - 9beta - 16beta - 20R - 24S)-16 - 25-Dihydroxy-3-(beta-D-xylopyranosyloxy)-20 - 24-epoxy-9 - 19-cyclolanostan-6-yl beta-D-glucopyranoside)
1328,Astragalus Root Dry Extract (1 g)
1329,Atazanavir Related Compound A (25 mg) ((S)-2-[(Methoxycarbonyl)amino]-3 - 3-dimethylbutanoic acid)
1330,Atazanavir Sulfate (200 mg)
1331,Atazanavir System Suitability Mixture (25 mg) (A mixture of atazanavir sulfate -  atazanavir R -  S -  S -  S - -diastereomer and atazanavir S - R - S - S diastereomer)
1332,Atenolol (200 mg)
1333,Atomoxetine Hydrochloride (200 mg)
1334,Atomoxetine Related Compound A (10 mg) (3-(Methylamino)-1-phenylpropan-1-ol)
1335,Atomoxetine Related Compound B (10 mg) (N-Methyl-3-phenyl-3-(m-tolyloxy)propan-1-amine hydrochloride)
